timepoint,GEX,ADT
Day0,SRR14219617,-
Day1,SRR14219618,-
Day2,SRR14219619,-
Day7,SRR14219624,-
Day21,SRR14219620,-
Day22,SRR14219621,-
Day28,SRR14219622,-
Day42,SRR14219623,-
